Customer_ID,Registration_Date,Age,Gender,Province,Education_Level,Occupation,Annual_Income_USD,Spending_Score,Monthly_App_Sessions,Social_Media_Hours_Day,Monthly_Online_Purchases,Avg_Transaction_Value_USD,Payment_Method,Preferred_Platform,Days_Since_Last_Purchase,Number_of_Dependents,Has_Smartphone,Internet_Speed,Loyalty_Score,Returns_Per_Year,Country,Survey_Version,Customer_Notes
KH-016,2023-01-15,21,Female,Phnom Penh,Bachelor,Government Employee,"$6,498",51,45,2.9,13,120.26,Wing,TikTok Shop,2,3,Yes,Medium,5.0,0,Cambodia,v2,"Note 15: new customer, visited 20 times, from Kratie"
KH-017,15/01/2023,45,Male,Kampong Cham,Primary,Student,2564,40,19,3.7,9,55.09,Wing,Facebook Marketplace,2,4,Yes,Fast,4.0,0,Cambodia,v2,"Note 16: loyal customer, visited 2 times, from Pursat"
KH-018,Jan 15 2023,18,Male,Phnom Penh,Secondary,Farmer,811,40,57,3.6,17,58.66,ABA Mobile,Local Market,1,2,Yes,Fast,4.0,1,Cambodia,v2,"Note 17: new customer, visited 8 times, from Kampong Cham"
KH-019,2023.01.15,33,Female,Phnom Penh,Bachelor,Business Owner,4025,57,35,4.7,12,86.54,Wing,Facebook Marketplace,10,4,Yes,Fast,6.0,1,Cambodia,v2,"Note 18: new customer, visited 5 times, from Battambang"
KH-020,15-Jan-23,18,Female,Kampot,Bachelor,Service Worker,3945,38,58,4.5,19,61.27,,Local Market,39,0,Yes,Slow,4.0,2,Cambodia,v2,"Note 19: new customer, visited 9 times, from Takeo"
KH-021,2023-01-15,42,Female,Phnom Penh,Bachelor,Service Worker,"$3,026",33,46,2.4,14,59.36,Wing,Shopee,8,4,Yes,Medium,3.0,2,Cambodia,v2,"Note 20: new customer, visited 7 times, from Kampot"
KH-022,15/01/2023,38,Female,Phnom Penh,Secondary,Traditional Healer,2642,30,31,3.0,7,47.26,ACLEDA,TikTok Shop,13,3,Yes,Fast,3.0,1,Cambodia,v2,"Note 21: new customer, visited 10 times, from Siem Reap"
KH-023,Jan 15 2023,18,Female,Phnom  Penh,Bachelor,Student,5136,42,50,5.3,16,92.18,Wing,TikTok Shop,5,3,Yes,Fast,4.0,1,Cambodia,v2,"Note 22: loyal customer, visited 2 times, from Takeo"
KH-024,2023.01.15,34,Male,phnom penh,Secondary,Farmer,,1,33,2.4,10,25.72,Cash,TikTok Shop,56,4,Yes,Slow,1.0,0,Cambodia,v2,"Note 23: new customer, visited 5 times, from Takeo"
KH-025,15-Jan-23,42,Female,Takeo,Primary,Farmer,,34,42,3.9,11,35.14,ACLEDA,Facebook Marketplace,18,2,Yes,Slow,3.0,1,Cambodia,v2,"Note 24: new customer, visited 5 times, from Kampot"
KH-026,2023-01-15,26,Female,Phnom Penh,Primary,Professional,726,35,38,3.4,10,27.28,Wing,TikTok Shop,46,2,Yes,Slow,4.0,0,Cambodia,v2,"Note 25: loyal customer, visited 11 times, from Pursat"
KH-027,15/01/2023,28,M,phnom penh,Secondary,Government Employee,1882,26,39,2.9,14,30.66,ABA Mobile,Local Market,21,1,Yes,Slow,3.0,4,Cambodia,v2,"Note 26: new customer, visited 13 times, from Takeo"
KH-028,Jan 15 2023,35,F,Phnom Penh,Bachelor,Government Employee,3107,44,37,4.9,11,67.16,Wing,Lazada,4,0,Yes,Slow,4.0,0,Cambodia,v2,"Note 27: loyal customer, visited 3 times, from Takeo"
KH-029,2023.01.15,36,Male,Phnom Penh,Primary,Business Owner,806,40,48,2.9,17,30.55,Cash,Shopee,5,0,Yes,Medium,4.0,1,Cambodia,v2,"Note 28: loyal customer, visited 6 times, from Kratie"
KH-030,15-Jan-23,28,female,Phnom Penh,Bachelor,Government Employee,6978,45,52,2.7,19,114.08,Wing,TikTok Shop,17,2,Yes,Fast,4.0,0,Cambodia,v2,"Note 29: loyal customer, visited 4 times, from Phnom Penh"
KH-031,2023-01-15,32,Male,Phnom Penh,Secondary,Freelancer,2593,41,31,2.7,12,56.54,Wing,Lazada,28,2,Yes,Medium,4.0,1,Cambodia,v2,"Note 30: loyal customer, visited 13 times, from Phnom Penh"
KH-032,15/01/2023,35 yrs,Male,Phnom Penh,Bachelor,Student,5371,Medium,31,4.7,7,8200.0,Wing,Shopee,22,0,Yes,Medium,,0,Cambodia,v2,"Note 31: new customer, visited 10 times, from Sihanoukville"
KH-033,Jan 15 2023,46,Female,Phnom Penh,Bachelor,Student,3736,27,31,1.8,10,67.95,Wing,Local Market,13,0,True,Fast,3.0,2,Cambodia,v2,"Note 32: new customer, visited 3 times, from Kampong Cham"
KH-034,2023.01.15,27,Female,Takeo,Bachelor,Freelancer,6492,58,62,5.2,23,123.34,Cash,Local Market,1,4,Yes,Slow,6.0,2,Cambodia,v2,"Note 33: loyal customer, visited 10 times, from Siem Reap"
KH-035,15-Jan-23,36,Female,Phnom Penh,Primary,Government Employee,1388,41,40,0.9,11,41.6,Bakong,Lazada,12,2,Yes,Slow,4.0,1,Cambodia,v2,"Note 34: loyal customer, visited 20 times, from Kampot"
KH-036,2023-01-15,23,Male,Pursat,Primary,Service Worker,2484,32,55,2.6,18,52.6,ACLEDA,Shopee,52,0,Yes,Fast,3.0,0,Cambodia,v2,"Note 35: loyal customer, visited 10 times, from Pursat"
KH-037,15/01/2023,19,Male,Phnom Penh,Secondary,Freelancer,1814,Low,33,4.8,11,49.07,Cash,Lazada,3,2,Yes,Fast,,2,Cambodia,v2,"Note 36: new customer, visited 15 times, from Kampong Cham"
KH-038,Jan 15 2023,45,Female,Phnom Penh,Primary,Government Employee,2319,47,27,2.5,6,34.54,ABA Mobile,Lazada,3,1,Yes,Fast,5.0,0,Cambodia,v2,"Note 37: new customer, visited 5 times, from Takeo"
KH-039,2023.01.15,31,Male,Phnom Penh,Master,Student,9025,49,49,3.3,14,168.34,Wing,Local Market,2,0,Yes,Medium,5.0,0,Cambodia,v2,"Note 38: loyal customer, visited 11 times, from Pursat"
KH-040,15-Jan-23,37,M,Kampong Cham,,Farmer,2116,34,44,0.5,8,35.31,ACLEDA,Lazada,26,3,Yes,Slow,3.0,1,Cambodia,v2,"Note 39: new customer, visited 14 times, from Siem Reap"
KH-041,2023-01-15,34,Female,Phnom Penh,Primary,Government Employee,1063,25,48,2.5,16,27.71,Bakong,Local Market,2,2,No,Slow,2.0,0,Cambodia,v2,"Note 40: new customer, visited 19 times, from Kandal"
KH-042,15/01/2023,52 yrs,Male,Phnom Penh,Bachelor,Student,4594,47,27,,10,79.92,ABA Mobile,TikTok Shop,10,0,Yes,Slow,5.0,0,Cambodia,v2,"Note 41: loyal customer, visited 12 times, from Pursat"
KH-043,Jan 15 2023,36,Female,Phnom Penh,Primary,Government Employee,1947,40,29,2.7,8,32.08,ABA Mobile,Local Market,46,4,Yes,Fast,4.0,3,Cambodia,v2,"Note 42: loyal customer, visited 16 times, from Siem Reap"
KH-044,2023.01.15,21,Female,Sihanoukville,Bachelor,Government Employee,5153,39,53,2.9,13,89.5,Bakong,Facebook Marketplace,27,0,Yes,Slow,4.0,0,Cambodia,v2,"Note 43: loyal customer, visited 6 times, from Kratie"
KH-045,15-Jan-23,25 yrs,Male,Phnom Penh,Primary,Business Owner,1034,31,52,3.9,13,15.76,Cash,Facebook Marketplace,1,0,No,Medium,3.0,1,Cambodia,v2,"Note 44: new customer, visited 8 times, from Takeo"
KH-046,2023-01-15,43,Male,Kampong Cham,Secondary,Professional,605,3,21,2.1,10,37.19,Cash,Local Market,1,0,Yes,Medium,1.0,1,Cambodia,v2,"Note 45: loyal customer, visited 17 times, from Kampong Cham"
KH-047,15/01/2023,37,Female,Siem Reap,Primary,Farmer,2090,33,28,2.8,6,46.27,ACLEDA,TikTok Shop,25,0,Yes,Fast,3.0,0,Cambodia,v2,"Note 46: loyal customer, visited 13 times, from Kandal"
KH-048,Jan 15 2023,30,Male,Phnom Penh,Bachelor,Freelancer,,46,45,3.9,12,108.81,ABA Mobile,Shopee,40,0,Yes,Slow,5.0,1,Cambodia,v2,"Note 47: new customer, visited 16 times, from Kratie"
KH-049,2023.01.15,20,female,Phnom  Penh,Primary,Student,1341,31,47,2.3,14,25.02,ACLEDA,TikTok Shop,41,2,Yes,Fast,3.0,2,Cambodia,v2,"Note 48: new customer, visited 15 times, from Siem Reap"
KH-050,15-Jan-23,22,Female,Phnom Penh,Bachelor,Traditional Healer,,42,56,4.3,13,110.95,ACLEDA,TikTok Shop,3,2,Yes,Medium,4.0,2,Cambodia,v2,"Note 49: new customer, visited 19 times, from Phnom Penh"
KH-051,2023-01-15,50,Male,Takeo,Secondary,Professional,2464,36,23,3.2,2,49.43,Cash,TikTok Shop,3,3,Yes,Slow,4.0,1,Cambodia,v2,"Note 50: new customer, visited 9 times, from Kampong Cham"
KH-052,15/01/2023,30,Male,Phnom Penh,Bachelor,Professional,5545,48,28,1.2,11,99.67,ABA Mobile,Shopee,64,4,Yes,Fast,5.0,0,Cambodia,v2,"Note 51: new customer, visited 3 times, from Battambang"
KH-053,Jan 15 2023,26,Male,Phnom Penh,Secondary,Farmer,3143,53,55,4.2,17,52.19,ABA Mobile,Shopee,79,3,Yes,Medium,5.0,2,Cambodia,v2,"Note 52: loyal customer, visited 3 times, from Takeo"
KH-054,2023.01.15,32,Female,Kampong Cham,Primary,Government Employee,1526,20,26,3.7,7,31.18,Wing,Lazada,1,4,Yes,Fast,2.0,0,Cambodia,v2,"Note 53: loyal customer, visited 19 times, from Takeo"
KH-055,15-Jan-23,25,Female,Phnom Penh,Master,Government Employee,10690,56,35,2.0,8,194.21,ABA Mobile,Shopee,9,3,Yes,Medium,6.0,0,Cambodia,v2,"Note 54: loyal customer, visited 7 times, from Battambang"
KH-056,2023-01-15,24,Male,Phnom Penh,,Student,5325,61,37,3.4,9,101.93,ABA Mobile,Local Market,7,3,Yes,Slow,6.0,1,Cambodia,v2,"Note 55: new customer, visited 14 times, from Battambang"
KH-057,15/01/2023,28,Female,Phnom Penh,Master,Service Worker,11683,59,37,2.9,13,196.99,ACLEDA,Facebook Marketplace,2,2,Yes,Fast,6.0,0,Cambodia,v2,"Note 56: new customer, visited 19 times, from Phnom Penh"
KH-058,Jan 15 2023,42,Male,Phnom Penh,Secondary,Farmer,120000,35,35,4.2,11,46.04,Bakong,Lazada,24,1,Yes,Fast,4.0,3,Cambodia,v2,"Note 57: loyal customer, visited 1 times, from Takeo"
KH-059,2023.01.15,37,Female,Takeo,Primary,Professional,1012,24,22,1.6,4,22.74,ACLEDA,Local Market,10,0,Yes,Slow,2.0,2,Cambodia,v2,"Note 58: new customer, visited 14 times, from Kandal"
KH-060,15-Jan-23,51,Male,Phnom Penh,Primary,Service Worker,1177,26,27,,9,17.28,Cash,Lazada,32,0,YES,Slow,3.0,2,Cambodia,v2,"Note 59: new customer, visited 12 times, from Kampong Cham"
KH-061,2023-01-15,25,Male,Phnom Penh,Bachelor,Farmer,5587,57,33,1.2,6,92.45,ABA Mobile,Local Market,17,2,Yes,Slow,6.0,1,Cambodia,v2,"Note 60: loyal customer, visited 14 times, from Kampong Cham"
KH-062,15/01/2023,33,Male ,Phnom Penh,Secondary,Business Owner,738,37,38,3.4,10,70.32,,Local Market,17,0,Yes,Fast,4.0,0,Cambodia,v2,"Note 61: loyal customer, visited 19 times, from Sihanoukville"
KH-063,Jan 15 2023,22,Male,Phnom Penh,Bachelor,Government Employee,7749,48,49,5.5,14,141.73,Wing,Local Market,10,2,Yes,Fast,5.0,0,Cambodia,v2,"Note 62: loyal customer, visited 8 times, from Siem Reap"
KH-064,2023.01.15,18,Female,Kampot,Master,Farmer,5925,68,42,4.6,13,108.84,ABA Mobile,Shopee,47,2,Yes,Fast,7.0,0,Cambodia,v2,"Note 63: new customer, visited 2 times, from Phnom Penh"
KH-065,15-Jan-23,32,Female,Phnom Penh,,Student,1666,24,33,2.9,10,23.91,Cash,Lazada,4,2,Yes,Fast,2.0,2,Cambodia,v2,"Note 64: loyal customer, visited 3 times, from Kratie"
KH-066,2023-01-15,42,Female,Phnom Penh,Primary,Farmer,,39,29,2.2,11,29.87,,Lazada,11,-1,Yes,Fast,4.0,1,Cambodia,v2,"Note 65: loyal customer, visited 2 times, from Kampot"
KH-067,15/01/2023,32,Female,Phnom Penh,Secondary,Business Owner,2949,44,39,4.0,11,56.02,Cash,Local Market,4,1,Yes,Fast,4.0,3,Cambodia,v2,"Note 66: new customer, visited 18 times, from Kratie"
KH-068,Jan 15 2023,29,Male,Kampot,Primary,Student,1727,49,34,2.1,5,48.33,Cash,Shopee,37,1,Yes,Slow,5.0,1,Cambodia,v2,"Note 67: loyal customer, visited 20 times, from Kampong Cham"
KH-069,2023.01.15,50,Female,Siem reap,Bachelor,Service Worker,,42,34,2.6,8,82.96,Cash,TikTok Shop,17,2,Yes,Slow,4.0,3,Cambodia,v2,"Note 68: new customer, visited 19 times, from Kampot"
KH-070,15-Jan-23,23,Male,Battambang,Secondary,Farmer,1817,32,46,6.6,10,42.82,Bakong,Local Market,2,3,Yes,Fast,3.0,1,Cambodia,v2,"Note 69: new customer, visited 13 times, from Kampong Cham"
KH-071,2023-01-15,27,Female,Phnom Penh,Secondary,Government Employee,2502,37,42,3.5,11,50.51,ACLEDA,Shopee,4,1,Yes,Medium,4.0,5,Cambodia,v2,"Note 70: new customer, visited 13 times, from Kandal"
KH-072,15/01/2023,41,Male,Phnom Penh,Secondary,Service Worker,1354,31,21,1.8,3,19.22,Bakong,Shopee,29,3,Yes,Slow,3.0,2,Cambodia,v2,"Note 71: loyal customer, visited 9 times, from Takeo"
KH-073,Jan 15 2023,28,FEMALE,Phnom Penh,Primary,Freelancer,1252,48,52,5.1,16,8200.0,Bakong,Shopee,10,0,Yes,Slow,5.0,2,Cambodia,v2,"Note 72: new customer, visited 20 times, from Kratie"
KH-074,2023.01.15,27,Female,Phnom Penh,Secondary,Freelancer,,50,47,3.0,16,75.19,ACLEDA,Shopee,27,2,Yes,Slow,5.0,1,Cambodia,v2,"Note 73: loyal customer, visited 16 times, from Pursat"
KH-075,15-Jan-23,18,Male,Phnom Penh,Secondary,Professional,874,37,44,3.8,13,75.14,Bakong,TikTok Shop,12,0,Yes,Medium,4.0,0,Cambodia,v2,"Note 74: new customer, visited 7 times, from Kratie"
KH-076,2023-01-15,18,Female,Siem reap,Primary,Business Owner,2004,35,57,5.0,17,44.03,Cash,TikTok Shop,31,2,Yes,Slow,4.0,0,Cambodia,v2,"Note 75: loyal customer, visited 18 times, from Kampot"
KH-077,15/01/2023,29,Female,Sihanoukville,Bachelor,Professional,5594,55,46,2.8,15,91.97,Bakong,Facebook Marketplace,24,4,Yes,Fast,6.0,0,Cambodia,v2,"Note 76: loyal customer, visited 9 times, from Kandal"
KH-078,Jan 15 2023,28,Female,Phnom Penh,Master,Farmer,,77,35,2.0,9,163.78,,TikTok Shop,19,2,Yes,Fast,8.0,4,Cambodia,v2,"Note 77: loyal customer, visited 10 times, from Sihanoukville"
KH-079,2023.01.15,35,Male,Kampot,Bachelor,Farmer,4954,59,37,4.0,8,85.15,ABA Mobile,Facebook Marketplace,66,0,Yes,Slow,6.0,1,Cambodia,v2,"Note 78: new customer, visited 9 times, from Battambang"
KH-080,15-Jan-23,44,Female,Phnom Penh,Primary,Farmer,2325,24,42,3.1,11,55.29,ACLEDA,Facebook Marketplace,74,1,Yes,Medium,2.0,0,Cambodia,v2,"Note 79: new customer, visited 10 times, from Phnom Penh"
KH-081,2023-01-15,27,Female,Battambang,Bachelor,Student,7482,65,47,1.4,11,119.85,Cash,TikTok Shop,8,2,Yes,Fast,6.0,4,Cambodia,v2,"Note 80: new customer, visited 14 times, from Kratie"
KH-082,15/01/2023,25,Female,Takeo,Secondary,Farmer,699,38,37,4.9,10,56.63,Bakong,Local Market,1,2,Yes,Slow,4.0,2,Cambodia,v2,"Note 81: new customer, visited 15 times, from Siem Reap"
KH-083,Jan 15 2023,18,Female,Kandal,Primary,Government Employee,1965,49,28,4.6,4,37.67,Bakong,Facebook Marketplace,45,1,Yes,Medium,5.0,1,Cambodia,v2,"Note 82: new customer, visited 13 times, from Siem Reap"
KH-084,2023.01.15,36,Female,Kampong Cham,Primary,Farmer,884,22,22,3.9,3,49.81,Wing,Lazada,26,3,Yes,Fast,2.0,3,Cambodia,v2,"Note 83: loyal customer, visited 20 times, from Kandal"
KH-085,15-Jan-23,23,Female,Kampot,Bachelor,Government Employee,668,33,53,2.2,18,61.99,ACLEDA,Lazada,37,0,Yes,Fast,3.0,0,Cambodia,v2,"Note 84: new customer, visited 1 times, from Pursat"
KH-086,2023-01-15,18,Female,Sihanoukville,,Service Worker,4818,50,46,2.6,13,99.2,Bakong,TikTok Shop,63,2,yes,Medium,5.0,1,Cambodia,v2,"Note 85: new customer, visited 18 times, from Kratie"
KH-087,15/01/2023,18 yrs,Male,Phnom Penh,Secondary,Farmer,1683,43,50,4.3,14,26.63,ACLEDA,TikTok Shop,5,2,Yes,Medium,4.0,2,Cambodia,v2,"Note 86: new customer, visited 4 times, from Phnom Penh"
KH-088,Jan 15 2023,35,Female,Battambang,Master,Service Worker,8236,59,47,4.9,16,139.77,ABA Mobile,TikTok Shop,18,1,Yes,Slow,6.0,3,Cambodia,v2,"Note 87: new customer, visited 17 times, from Kampong Cham"
KH-089,2023.01.15,46 yrs,Female,Phnom Penh,Primary,Government Employee,1936,1,22,3.4,5,27.56,ABA Mobile,Lazada,16,1,Yes,Slow,1.0,2,Cambodia,v2,"Note 88: loyal customer, visited 8 times, from Sihanoukville"
KH-090,15-Jan-23,32,Male,Phnom Penh,Master,Professional,1058,63,42,4.7,7,114.91,ABA Mobile,Lazada,2,4,Yes,Fast,6.0,1,Cambodia,v2,"Note 89: loyal customer, visited 11 times, from Kratie"
KH-091,2023-01-15,28,Male,Phnom Penh,Secondary,Government Employee,"$3,043",Medium,40,4.9,11,52.06,ABA Mobile,Lazada,19,1,Yes,Slow,,2,Cambodia,v2,"Note 90: loyal customer, visited 4 times, from Siem Reap"
KH-092,15/01/2023,36,Female,Kampong Cham,Secondary,Government Employee,2522,29,28,2.7,9,55.87,ACLEDA,Facebook Marketplace,16,0,Yes,Medium,3.0,3,Cambodia,v2,"Note 91: new customer, visited 6 times, from Kampong Cham"
KH-093,Jan 15 2023,39,Male,Phnom Penh,Secondary,Student,3579,33,23,4.0,10,70.79,Wing,TikTok Shop,19,0,YES,Medium,3.0,1,Cambodia,v2,"Note 92: loyal customer, visited 1 times, from Battambang"
KH-094,2023.01.15,35,Female,Takeo,Secondary,Student,3213,46,48,2.9,16,60.32,ACLEDA,Shopee,24,2,Yes,Medium,5.0,2,Cambodia,v2,"Note 93: loyal customer, visited 17 times, from Kampong Cham"
KH-095,15-Jan-23,30,Female,Phnom Penh,Primary,Student,1903,32,33,3.6,10,51.24,Cash,Shopee,12,0,Yes,Slow,3.0,0,Cambodia,v2,"Note 94: loyal customer, visited 12 times, from Battambang"
KH-096,2023-01-15,18,Female,Phnom Penh,Bachelor,Student,982,Medium,49,6.8,12,99.49,ACLEDA,Lazada,6,4,Yes,Fast,,0,Cambodia,v2,"Note 95: new customer, visited 1 times, from Takeo"
KH-097,15/01/2023,31,Female,Phnom Penh,Bachelor,Farmer,662,54,42,3.9,11,85.7,ABA Mobile,Shopee,1,0,Yes,Fast,5.0,3,Cambodia,v2,"Note 96: new customer, visited 4 times, from Siem Reap"
KH-098,Jan 15 2023,24,Male,Kampong Cham,Bachelor,Business Owner,,42,31,5.5,7,69.84,ABA Mobile,Lazada,4,1,Yes,Fast,4.0,2,Cambodia,v2,"Note 97: new customer, visited 12 times, from Sihanoukville"
KH-099,2023.01.15,33,Female,Sihanoukville,Master,Freelancer,764,57,22,4.1,9,199.16,Wing,TikTok Shop,3,3,Yes,Medium,6.0,0,Cambodia,v2,"Note 98: new customer, visited 7 times, from Takeo"
KH-100,15-Jan-23,18,Male,Kandal,Secondary,Farmer,2234,32,50,2.5,-7,49.99,ABA Mobile,Lazada,34,3,Yes,Slow,3.0,1,Cambodia,v2,"Note 99: new customer, visited 9 times, from Pursat"
KH-101,2023-01-15,26,Female,Phnom Penh,Master,Student,6558,43,42,5.1,17,107.72,Wing,Facebook Marketplace,41,2,Yes,Slow,4.0,1,Cambodia,v2,"Note 100: new customer, visited 13 times, from Siem Reap"
KH-102,15/01/2023,26,male,Phnom Penh,Bachelor,Government Employee,3865,43,35,4.2,8,62.24,,Local Market,7,2,Yes,Fast,4.0,1,Cambodia,v2,"Note 101: new customer, visited 1 times, from Kandal"
KH-103,Jan 15 2023,38,F,Phnom Penh,Master,Student,10353,59,36,3.5,13,171.04,Wing,TikTok Shop,4,2,Yes,Fast,6.0,1,Cambodia,v2,"Note 102: loyal customer, visited 4 times, from Takeo"
KH-104,2023.01.15,7,Male,Phnom Penh,Master,Student,9937,76,23,2.3,8,182.57,Cash,Local Market,27,1,Yes,Slow,8.0,1,Cambodia,v2,"Note 103: new customer, visited 14 times, from Kandal"
KH-105,15-Jan-23,34,Male ,Phnom Penh,Bachelor,Freelancer,3166,54,33,3.1,10,67.39,Wing,Shopee,32,1,Yes,Slow,5.0,1,Cambodia,v2,"Note 104: new customer, visited 13 times, from Battambang"
KH-106,2023-01-15,29,Male,Phnom Penh,Master,Freelancer,9587,48,29,4.9,7,156.96,,Shopee,5,0,Yes,Slow,5.0,0,Cambodia,v2,"Note 105: new customer, visited 13 times, from Takeo"
KH-107,15/01/2023,27,Male,Phnom Penh,Bachelor,Business Owner,4851,56,39,3.1,10,96.31,ACLEDA,TikTok Shop,30,3,Yes,Fast,6.0,1,Cambodia,v2,"Note 106: new customer, visited 14 times, from Kampong Cham"
KH-108,Jan 15 2023,33,Male,Phnom Penh,Secondary,Service Worker,1013,42,39,4.2,12,75.38,Cash,Lazada,26,1,1,Fast,4.0,2,Cambodia,v2,"Note 107: loyal customer, visited 9 times, from Siem Reap"
KH-109,2023.01.15,30,Male,Phnom Penh,Bachelor,Farmer,,49,43,4.5,10,89.69,Bakong,Local Market,1,2,Yes,Medium,5.0,1,Cambodia,v2,"Note 108: loyal customer, visited 19 times, from Battambang"
KH-110,15-Jan-23,26,Male,Kampong Cham,Master,Professional,10091,54,46,2.8,11,184.68,ABA Mobile,Shopee,12,1,yes,Slow,5.0,0,Cambodia,v2,"Note 109: new customer, visited 10 times, from Battambang"
KH-111,2023-01-15,142,Female,Kandal,Primary,Freelancer,1883,44,37,1.7,12,30.95,ABA Mobile,Local Market,7,0,Yes,Medium,4.0,4,Cambodia,v2,"Note 110: loyal customer, visited 15 times, from Pursat"
KH-112,15/01/2023,25,Male,Phnom Penh,Secondary,Freelancer,"$2,947",33,36,4.4,9,57.06,Bakong,TikTok Shop,1,4,Yes,Fast,3.0,1,Cambodia,v2,"Note 111: new customer, visited 1 times, from Kratie"
KH-113,Jan 15 2023,40,Male,Kratie,,Service Worker,6046,55,35,4.7,9,120.06,Bakong,TikTok Shop,4,2,Yes,Fast,6.0,1,Cambodia,v2,"Note 112: loyal customer, visited 2 times, from Phnom Penh"
KH-114,2023.01.15,34,Male,Phnom Penh,Master,Freelancer,7471,62,35,4.3,13,139.34,Wing,Shopee,27,2,Yes,Fast,6.0,0,Cambodia,v2,"Note 113: loyal customer, visited 19 times, from Phnom Penh"
KH-115,15-Jan-23,21,male,Siem Reap,Secondary,Government Employee,2056,52,58,2.7,18,42.47,Cash,Shopee,6,2,Yes,Medium,5.0,1,Cambodia,v2,"Note 114: new customer, visited 13 times, from Sihanoukville"
KH-116,2023-01-15,39,Male,Phnom Penh,Bachelor,Government Employee,6515,61,37,2.7,9,118.54,Bakong,Facebook Marketplace,1,0,Yes,Medium,6.0,0,Cambodia,v2,"Note 115: loyal customer, visited 13 times, from Siem Reap"
